alpha,m,fitting
-1.399999999999999467e+00,-1.699999999999999734e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.599999999999999645e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.499999999999999556e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.399999999999999467e+00,0.000000000000000000e+00
-1.399999999999999467e+00,-1.299999999999999378e+00,2.401575939966845222e-02
-1.399999999999999467e+00,-1.199999999999999289e+00,2.573683676125109593e-02
-1.399999999999999467e+00,-1.099999999999999201e+00,2.678688441593692765e-02
-1.399999999999999467e+00,-9.999999999999991118e-01,2.757385017704443511e-02
-1.399999999999999467e+00,-8.999999999999990230e-01,3.288622796831830453e-02
-1.399999999999999467e+00,-7.999999999999989342e-01,4.138182873877241374e-02
-1.399999999999999467e+00,-6.999999999999988454e-01,4.966932966312725267e-02
-1.399999999999999467e+00,-5.999999999999987566e-01,5.948902988632193134e-02
-1.399999999999999467e+00,-4.999999999999986677e-01,6.494431688465068797e-02
-1.399999999999999467e+00,-3.999999999999985789e-01,9.856475545028160756e-02
-1.399999999999999467e+00,-2.999999999999984901e-01,1.012616165687753172e-01
-1.399999999999999467e+00,-1.999999999999984013e-01,1.039212434076844244e-01
-1.399999999999999467e+00,-9.999999999999831246e-02,1.507650770882581204e-01
-1.399999999999999467e+00,1.776356839400250465e-15,1.704384545689686947e-01
-1.399999999999999467e+00,1.000000000000018652e-01,1.938184495792343309e-01
-1.399999999999999467e+00,2.000000000000019540e-01,2.136475059221892014e-01
-1.399999999999999467e+00,3.000000000000020428e-01,2.308552807951119168e-01
-1.399999999999999467e+00,4.000000000000021316e-01,1.811585035391163057e-01
-1.399999999999999467e+00,5.000000000000022204e-01,1.421031727670778178e-01
-1.399999999999999467e+00,6.000000000000023093e-01,1.295302399757148060e-01
-1.399999999999999467e+00,7.000000000000023981e-01,1.275803325359446960e-01
-1.399999999999999467e+00,8.000000000000024869e-01,9.225738732431087996e-02
-1.399999999999999467e+00,9.000000000000025757e-01,8.793219459551163131e-02
-1.399999999999999467e+00,1.000000000000002665e+00,8.325198772454851792e-02
-1.399999999999999467e+00,1.100000000000002753e+00,7.846746787956594693e-02
-1.399999999999999467e+00,1.200000000000002842e+00,7.374054595369472498e-02
